time,vm10,gust10,um10,t2m,x,y,wdir,wspeed
2022-07-16 00:00:00,0.2509929522562765,0.6530539092392147,0.03223071359630804,999.0,2000.0,2000.0,7.317466838849555,0.2530539092392147
2022-07-16 01:00:00,-0.1351530384584399,0.6423718022174438,0.2011908216236098,999.0,2000.0,2000.0,123.89184091571315,0.24237180221744384
2022-07-16 02:00:00,-0.5229489015991767,1.0387783279619613,0.3668272053570911,999.0,2000.0,2000.0,144.951915131701,0.6387783279619612
2022-07-16 03:00:00,-0.9111430764806587,1.4554750178489022,0.5327718155875933,999.0,2000.0,2000.0,149.68393379964073,1.055475017848902
2022-07-16 04:00:00,-1.2988111087064962,1.875397768449806,0.6999201947702818,999.0,2000.0,2000.0,151.68008398363133,1.4753977684498059
2022-07-16 05:00:00,-1.6856133592944023,2.2947769631281743,0.8653827725171487,999.0,2000.0,2000.0,152.82433513723686,1.8947769631281743
2022-07-16 06:00:00,-2.077934200501949,2.718710120671437,1.0288858450228948,999.0,2000.0,2000.0,153.65775994864407,2.318710120671437
2022-07-16 07:00:00,-1.3664646020433975,1.967526646275469,0.7680587725857956,999.0,2000.0,2000.0,150.66064631248997,1.5675266462754691
2022-07-16 08:00:00,-0.6570112517357214,1.22674493213659,0.5018400122610743,999.0,2000.0,2000.0,142.62659273929393,0.82674493213659
2022-07-16 09:00:00,0.04932682552395251,0.6385766359825056,0.2334216689179874,999.0,2000.0,2000.0,78.06776691217487,0.23857663598250559
2022-07-16 10:00:00,0.7539844007857137,1.1548893785874044,-0.036952635574282675,999.0,2000.0,2000.0,357.1941895239647,0.7548893785874043
2022-07-16 11:00:00,1.458198991185144,1.89687040691363,-0.30998782605527064,999.0,2000.0,2000.0,347.99856910794193,1.4907839381331704
2022-07-16 12:00:00,2.1577654601196166,2.949406135109111,-0.5884954799460625,999.0,2000.0,2000.0,344.74453551449284,2.2365774546843147
2022-07-16 13:00:00,1.8447338807699734,2.7547081879074082,-0.882518235418063,999.0,2000.0,2000.0,334.43360953653456,2.044964920654156
2022-07-16 14:00:00,1.5301211625682687,2.619096561805171,-1.1763285169378177,999.0,2000.0,2000.0,322.44759114593506,1.930030971746411
2022-07-16 15:00:00,1.2121846183396414,2.5881391891080066,-1.4736163227870718,999.0,2000.0,2000.0,309.4404319547322,1.908123847061221
2022-07-16 16:00:00,0.8928304530903796,2.6664780117891684,-1.7694697416854686,999.0,2000.0,2000.0,296.77437640760013,1.9819609947488903
2022-07-16 17:00:00,0.5726600987696305,2.8576819885577622,-2.0703634628167498,999.0,2000.0,2000.0,285.4613816259504,2.148102524762123
2022-07-16 18:00:00,0.25035888843301213,3.132764814261165,-2.3705087217972913,999.0,2000.0,2000.0,276.0288862378865,2.3836927598024125
2022-07-16 19:00:00,0.07519095981618468,2.701767900420901,-2.1649897666265105,999.0,2000.0,2000.0,271.98910582379574,2.1662950791698696
2022-07-16 20:00:00,-0.10217548520856,2.3497656405014773,-1.9470865987681523,999.0,2000.0,2000.0,266.9960970059907,1.9497656405014774
2022-07-16 21:00:00,-0.2794747276613503,2.1578362570569682,-1.735477508705505,999.0,2000.0,2000.0,260.85184371250193,1.7578362570569683
2022-07-16 22:00:00,-0.4588451669447858,1.9936244072721419,-1.5261388744884576,999.0,2000.0,2000.0,253.26619822722907,1.5936244072721417
2022-07-16 23:00:00,-0.6405655965641918,1.8654362662653954,-1.3180209281283144,999.0,2000.0,2000.0,244.07998697791524,1.4654362662653952
2022-07-17 00:00:00,-0.8223314717403885,1.779101772518398,-1.1071100440103836,999.0,2000.0,2000.0,233.39603120569768,1.3791017725183978
2022-07-17 01:00:00,-0.7851367358233549,1.9373500231768812,-1.3217433184331233,999.0,2000.0,2000.0,239.28900874803142,1.5373500231768813
2022-07-17 02:00:00,-0.7521609942252855,2.1148575638485463,-1.5411003546345061,999.0,2000.0,2000.0,243.9845006655583,1.7148575638485462
2022-07-17 03:00:00,-0.7204084737557916,2.303543956204374,-1.7619566464992975,999.0,2000.0,2000.0,247.76189612117312,1.9035439562043739
2022-07-17 04:00:00,-0.6914415496817613,2.50368790615624,-1.9868093491529855,999.0,2000.0,2000.0,250.81128293615717,2.10368790615624
2022-07-17 05:00:00,-0.6635761280920563,2.7115973500714943,-2.214305541492391,999.0,2000.0,2000.0,253.31774319649628,2.3115973500714944
2022-07-17 06:00:00,-0.6372039728574341,2.925050711715016,-2.443328097842615,999.0,2000.0,2000.0,255.38320910193653,2.525050711715016
2022-07-17 07:00:00,-0.40619348732786437,2.974782000551627,-2.5425399114305103,999.0,2000.0,2000.0,260.92319041609153,2.574782000551627
2022-07-17 08:00:00,-0.17992735836992188,3.058621498368579,-2.6525260446030705,999.0,2000.0,2000.0,266.119431037765,2.658621498368579
2022-07-17 09:00:00,0.0411616497754535,3.2130765910873387,-2.763536550154799,999.0,2000.0,2000.0,270.8533320943003,2.7638430754031105
2022-07-17 10:00:00,0.26503948742415223,3.450815528376869,-2.870859769354537,999.0,2000.0,2000.0,275.27462908640103,2.8830681131725697
2022-07-17 11:00:00,0.49179335809226105,3.783298204386428,-2.958291686837816,999.0,2000.0,2000.0,279.4386660227416,2.998891530462113
2022-07-17 12:00:00,0.712878392227796,4.167925853899572,-3.049881197928777,999.0,2000.0,2000.0,283.156102585431,3.1320873109772593
2022-07-17 13:00:00,0.5491127121157191,4.224898278956454,-3.1626837277495747,999.0,2000.0,2000.0,279.849641913534,3.209998930276929
2022-07-17 14:00:00,0.3833775566978414,4.273683961255647,-3.2776536165147605,999.0,2000.0,2000.0,276.67140546310117,3.2999987243682227
2022-07-17 15:00:00,0.2140330312167769,4.34178853133348,-3.396019714152212,999.0,2000.0,2000.0,273.60627795877156,3.4027577106462212
2022-07-17 16:00:00,0.043902766622895543,4.428934900441732,-3.5152740376881977,999.0,2000.0,2000.0,270.7155380879242,3.5155481810041844
2022-07-17 17:00:00,-0.12606530875479732,4.532980950039866,-3.636075178600379,999.0,2000.0,2000.0,268.0143100166503,3.6382599091468464
2022-07-17 18:00:00,-0.3020022343957642,4.66221399081339,-3.7708895530176925,999.0,2000.0,2000.0,265.42108040704437,3.7829635698269692
2022-07-17 19:00:00,-0.3563972707876404,3.977698735024563,-3.2201415555559025,999.0,2000.0,2000.0,263.6843495853482,3.2398041071093893
2022-07-17 20:00:00,-0.41442289567387536,3.245157382699449,-2.669560559243799,999.0,2000.0,2000.0,261.17583254132796,2.7015365842292023
2022-07-17 21:00:00,-0.4744662601593181,2.63772393259086,-2.1169147820712517,999.0,2000.0,2000.0,257.367015334212,2.1694345868408536
2022-07-17 22:00:00,-0.5372070916006606,2.0732077941040306,-1.568870589326002,999.0,2000.0,2000.0,251.09795274177955,1.6582962296640964
2022-07-17 23:00:00,-0.6007076077323869,1.586126048775136,-1.0227635961429937,999.0,2000.0,2000.0,239.57267820231385,1.186126048775136
2022-07-18 00:00:00,-0.6667871104846796,1.218806226376001,-0.4752247738108762,999.0,2000.0,2000.0,215.4777912086676,0.8188062263760009
